"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","3512"
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","2974"
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","3141"
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","12880"
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","2868"
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","2214"
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","2380"
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","1902"
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","50","Services/other (49-98)","-","All Enterprises","Euro Million","9364"
"TSA11C01","Value of Exports","2021","2021","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","99","Unknown","99","Unknown","Euro Million","3682"
"TSA11C01","Value of Exports","2021","2021","99","Unknown","-","All Enterprises","Euro Million","3682"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","05","Micro (0 to 9)","Euro Million","8124"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","01","Small (10 to 49)","Euro Million","8453"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","02","Medium (50 to 249)","Euro Million","16569"
"TSA11C01","Value of Exports","2021","2021","-","All sectors","03","Large (250 or more)","Euro Million","124346"
